energy_center_MeV,annihil,compt,conv,primary,other,total
0.002500,0.000000,0.000000,0.000000,0.000000,7.000000,7.000000
0.007500,0.000000,0.000000,0.000000,0.000000,6.000000,6.000000
0.012500,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000
0.017500,0.000000,1.000000,0.000000,0.000000,3.000000,4.000000
0.022500,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000
0.027500,0.000000,1.000000,0.000000,0.000000,3.000000,4.000000
0.032500,0.000000,1.000000,0.000000,0.000000,31.000000,32.000000
0.037500,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000
0.042500,0.000000,0.000000,0.000000,0.000000,5.000000,5.000000
0.047500,0.000000,1.000000,0.000000,0.000000,2.000000,3.000000
0.052500,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000
0.057500,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000
0.062500,0.000000,0.000000,0.000000,0.000000,11.000000,11.000000
0.067500,0.000000,0.000000,0.000000,0.000000,10.000000,10.000000
0.072500,0.000000,0.000000,1.000000,0.000000,4.000000,5.000000
0.077500,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000
0.082500,0.000000,0.000000,0.000000,0.000000,9.000000,9.000000
0.087500,0.000000,0.000000,0.000000,0.000000,14.000000,14.000000
0.092500,0.000000,1.000000,0.000000,0.000000,5.000000,6.000000
0.097500,0.000000,2.000000,0.000000,0.000000,8.000000,10.000000
0.102500,0.000000,0.000000,1.000000,0.000000,11.000000,12.000000
0.107500,0.000000,1.000000,0.000000,0.000000,16.000000,17.000000
0.112500,0.000000,1.000000,0.000000,0.000000,9.000000,10.000000
0.117500,1.000000,0.000000,0.000000,0.000000,20.000000,21.000000
0.122500,2.000000,0.000000,0.000000,0.000000,24.000000,26.000000
0.127500,4.000000,2.000000,0.000000,0.000000,16.000000,22.000000
0.132500,3.000000,0.000000,0.000000,0.000000,11.000000,14.000000
0.137500,4.000000,0.000000,0.000000,0.000000,17.000000,21.000000
0.142500,4.000000,0.000000,1.000000,0.000000,15.000000,20.000000
0.147500,3.000000,0.000000,2.000000,0.000000,23.000000,28.000000
0.152500,4.000000,1.000000,0.000000,0.000000,30.000000,35.000000
0.157500,2.000000,1.000000,0.000000,0.000000,21.000000,24.000000
0.162500,2.000000,0.000000,0.000000,0.000000,21.000000,23.000000
0.167500,3.000000,1.000000,0.000000,0.000000,25.000000,29.000000
